year,date,value_tmax,value_tmin,Location,PRISMMinTempF,PRISMMaxTempF,CIMISMinTempF,CIMISMaxTempF
2016,2016-01-01,11.71500015,-1.539000034,Biggs244,29.22979994,53.08700027,31.8,50.2
2016,2016-01-02,9.666000366,0.252000004,Biggs244,32.45360001,49.39880066,31.3,47.3
2016,2016-01-03,8.387999535,1.907999992,Biggs244,35.43439999,47.09839916,35.6,56.3
2016,2016-01-04,12.51200008,2.59800005,Biggs244,36.67640009,54.52160015,39.9,48.6
2016,2016-01-05,10.16600037,4.71600008,Biggs244,40.48880014,50.29880066,47.1,54.1
2016,2016-01-06,11.65799999,8.541000366,Biggs244,47.37380066,52.98439999,45.8,49.6
2016,2016-01-07,9.701999664,7.434999943,Biggs244,45.3829999,49.4635994,37.9,54.2
2016,2016-01-08,11.58199978,3.917999983,Biggs244,39.05239997,52.8475996,34.4,52.2
2016,2016-01-09,10.15200043,1.868999958,Biggs244,35.36419992,50.27360077,44.8,50.5
2016,2016-01-10,10.13500023,7.032000065,Biggs244,44.65760012,50.24300041,42.3,62.8
2016,2016-01-11,15.11699963,6.164000034,Biggs244,43.09520006,59.21059933,41.2,58.6
2016,2016-01-12,13.77499962,4.428999901,Biggs244,39.97219982,56.79499931,39.1,57.4
2016,2016-01-13,13.68799973,4.342999935,Biggs244,39.81739988,56.63839951,43.9,61.1
2016,2016-01-14,15.5369997,3.802000046,Biggs244,38.84360008,59.96659946,37.7,51
2016,2016-01-15,10.28499985,3.964999914,Biggs244,39.13699985,50.51299973,43.2,53.8
2016,2016-01-16,11.17599964,6.784999847,Biggs244,44.21299973,52.11679935,47.3,57.2
2016,2016-01-17,13.56200027,8.609999657,Biggs244,47.49799938,56.41160049,51,55.4
2016,2016-01-18,12.80000019,11.0880003,Biggs244,51.95840054,55.04000034,53.1,61.4
2016,2016-01-19,15.90400028,11.79100037,Biggs244,53.22380066,60.62720051,52.8,62.3
2016,2016-01-20,16.56900024,10.83600044,Biggs244,51.5048008,61.82420044,47.4,58
2016,2016-01-21,14.15200043,8.437000275,Biggs244,47.18660049,57.47360077,46.6,58.8
2016,2016-01-22,14.34799957,8.31400013,Biggs244,46.96520023,57.82639923,52.2,56.7
2016,2016-01-23,13.56499958,10.46500015,Biggs244,50.83700027,56.41699924,47.1,60.6
2016,2016-01-24,15.28499985,6.907999992,Biggs244,44.43439999,59.51299973,40.6,56.6
2016,2016-01-25,12.80200005,5.681000233,Biggs244,42.22580042,55.04360008,46.1,60.8
2016,2016-01-26,15.70699978,5.68900013,Biggs244,42.24020023,60.2725996,36.8,58.6
2016,2016-01-27,14.35700035,3.632999897,Biggs244,38.53939981,57.84260063,42.9,68.5
2016,2016-01-28,18.94499969,5.922999859,Biggs244,42.66139975,66.10099945,42.5,55.2
2016,2016-01-29,12.78600025,6.238999844,Biggs244,43.23019972,55.01480045,51,59.5
2016,2016-01-30,14.74800014,8.875,Biggs244,47.975,58.54640026,45.9,61
2016,2016-01-31,14.71800041,7.677000046,Biggs244,45.81860008,58.49240074,42.7,56.2
2016,2016-02-01,13.10400009,5.254000187,Biggs244,41.45720034,55.58720016,37.2,57.2
2016,2016-02-02,13.39400005,3.631999969,Biggs244,38.53759995,56.1092001,33.8,51
2016,2016-02-03,9.331999779,2.155999899,Biggs244,35.88079982,48.7975996,35.2,50.2
2016,2016-02-04,9.909000397,2.904000044,Biggs244,37.22720008,49.83620071,40.4,58.6
